"","X","Experiment","Treatment","Replicate","DPI","Population","subject"
"1",1,"1","Xp alone",1,0,2.773603623,"Xp alone.1.1"
"2",2,"1","Xp alone",2,0,2.314393957,"Xp alone.2.1"
"3",3,"1","Xp alone",3,0,2.640978057,"Xp alone.3.1"
"4",4,"1","Xp alone",1,3,6.189455221,"Xp alone.1.1"
"5",5,"1","Xp alone",2,3,6.693507109,"Xp alone.2.1"
"6",6,"1","Xp alone",3,3,6.811868123,"Xp alone.3.1"
"7",7,"1","Xp alone",1,6,7.074633618,"Xp alone.1.1"
"8",8,"1","Xp alone",2,6,7.297623747,"Xp alone.2.1"
"9",9,"1","Xp alone",3,6,7.534264141,"Xp alone.3.1"
"10",10,"1","Xp alone",1,9,7.358172882,"Xp alone.1.1"
"11",11,"1","Xp alone",2,9,7.434369274,"Xp alone.2.1"
"12",12,"1","Xp alone",3,9,7.107633878,"Xp alone.3.1"
"13",13,"1","Xp alone",1,14,7.068881289,"Xp alone.1.1"
"14",14,"1","Xp alone",2,14,7.492673102,"Xp alone.2.1"
"15",15,"1","Xp alone",3,14,7.419129308,"Xp alone.3.1"
"16",16,"1","Xp of XpPc",1,0,2.682370743,"Xp of XpPc.1.1"
"17",17,"1","Xp of XpPc",2,0,3.031408464,"Xp of XpPc.2.1"
"18",18,"1","Xp of XpPc",3,0,3.360546082,"Xp of XpPc.3.1"
"19",19,"1","Xp of XpPc",1,3,5.730378469,"Xp of XpPc.1.1"
"20",20,"1","Xp of XpPc",2,3,5.227243782,"Xp of XpPc.2.1"
"21",21,"1","Xp of XpPc",3,3,7.028386835,"Xp of XpPc.3.1"
"22",22,"1","Xp of XpPc",1,6,7.429032737,"Xp of XpPc.1.1"
"23",23,"1","Xp of XpPc",2,6,7.290730039,"Xp of XpPc.2.1"
"24",24,"1","Xp of XpPc",3,6,7.494850022,"Xp of XpPc.3.1"
"25",25,"1","Xp of XpPc",1,9,6.792994329,"Xp of XpPc.1.1"
"26",26,"1","Xp of XpPc",2,9,6.800172914,"Xp of XpPc.2.1"
"27",27,"1","Xp of XpPc",3,9,6.722413255,"Xp of XpPc.3.1"
"28",28,"1","Xp of XpPc",1,14,6.686940937,"Xp of XpPc.1.1"
"29",29,"1","Xp of XpPc",2,14,6.558911123,"Xp of XpPc.2.1"
"30",30,"1","Xp of XpPc",3,14,6.747236839,"Xp of XpPc.3.1"
"31",31,"1","Xp of XpXa",1,0,2.096910013,"Xp of XpXa.1.1"
"32",32,"1","Xp of XpXa",2,0,1.875061263,"Xp of XpXa.2.1"
"33",33,"1","Xp of XpXa",3,0,3.013363962,"Xp of XpXa.3.1"
"34",34,"1","Xp of XpXa",1,3,5.612121317,"Xp of XpXa.1.1"
"35",35,"1","Xp of XpXa",2,3,5.429348473,"Xp of XpXa.2.1"
"36",36,"1","Xp of XpXa",3,3,6.658295755,"Xp of XpXa.3.1"
"37",37,"1","Xp of XpXa",1,6,7.290730039,"Xp of XpXa.1.1"
"38",38,"1","Xp of XpXa",2,6,7.351427879,"Xp of XpXa.2.1"
"39",39,"1","Xp of XpXa",3,6,7.332122724,"Xp of XpXa.3.1"
"40",40,"1","Xp of XpXa",1,9,6.605907686,"Xp of XpXa.1.1"
"41",41,"1","Xp of XpXa",2,9,6.755205768,"Xp of XpXa.2.1"
"42",42,"1","Xp of XpXa",3,9,6.755205768,"Xp of XpXa.3.1"
"43",43,"1","Xp of XpXa",1,14,6.686940937,"Xp of XpXa.1.1"
"44",44,"1","Xp of XpXa",2,14,6.61690307,"Xp of XpXa.2.1"
"45",45,"1","Xp of XpXa",3,14,4.901390202,"Xp of XpXa.3.1"
"46",46,"1","Xp of XpPcXa",1,0,2.759667845,"Xp of XpPcXa.1.1"
"47",47,"1","Xp of XpPcXa",2,0,2.70969387,"Xp of XpPcXa.2.1"
"48",48,"1","Xp of XpPcXa",3,0,2.903089987,"Xp of XpPcXa.3.1"
"49",49,"1","Xp of XpPcXa",1,3,6.755205768,"Xp of XpPcXa.1.1"
"50",50,"1","Xp of XpPcXa",2,3,6.668055592,"Xp of XpPcXa.2.1"
"51",51,"1","Xp of XpPcXa",3,3,6.872175575,"Xp of XpPcXa.3.1"
"52",52,"1","Xp of XpPcXa",1,6,7.087364695,"Xp of XpPcXa.1.1"
"53",53,"1","Xp of XpPcXa",2,6,6.696084316,"Xp of XpPcXa.2.1"
"54",54,"1","Xp of XpPcXa",3,6,6.722413255,"Xp of XpPcXa.3.1"
"55",55,"1","Xp of XpPcXa",1,9,6.696084316,"Xp of XpPcXa.1.1"
"56",56,"1","Xp of XpPcXa",2,9,6.583044803,"Xp of XpPcXa.2.1"
"57",57,"1","Xp of XpPcXa",3,9,6.763031106,"Xp of XpPcXa.3.1"
"58",58,"1","Xp of XpPcXa",1,14,5.381340747,"Xp of XpPcXa.1.1"
"59",59,"1","Xp of XpPcXa",2,14,5.524233799,"Xp of XpPcXa.2.1"
"60",60,"1","Xp of XpPcXa",3,14,5.429348473,"Xp of XpPcXa.3.1"
"61",61,"2","Xp alone",1,0,2.096910013,"Xp alone.1.2"
"62",62,"2","Xp alone",2,0,2.84703254,"Xp alone.2.2"
"63",63,"2","Xp alone",3,0,2.536242707,"Xp alone.3.2"
"64",64,"2","Xp alone",1,3,5.817069316,"Xp alone.1.2"
"65",65,"2","Xp alone",2,3,4.971971276,"Xp alone.2.2"
"66",66,"2","Xp alone",3,3,5.817069316,"Xp alone.3.2"
"67",67,"2","Xp alone",1,6,7.386944624,"Xp alone.1.2"
"68",68,"2","Xp alone",2,6,7.361137361,"Xp alone.2.2"
"69",69,"2","Xp alone",3,6,7.202420198,"Xp alone.3.2"
"70",70,"2","Xp alone",1,9,7.490485216,"Xp alone.1.2"
"71",71,"2","Xp alone",2,9,7.246898469,"Xp alone.2.2"
"72",72,"2","Xp alone",3,9,7.294190571,"Xp alone.3.2"
"73",73,"2","Xp alone",1,14,7.294190571,"Xp alone.1.2"
"74",74,"2","Xp alone",2,14,7.467977875,"Xp alone.2.2"
"75",75,"2","Xp alone",3,14,7.642526346,"Xp alone.3.2"
"76",76,"2","Xp of XpPc",1,0,3.118099312,"Xp of XpPc.1.2"
"77",77,"2","Xp of XpPc",2,0,3.096910013,"Xp of XpPc.2.2"
"78",78,"2","Xp of XpPc",3,0,3.254517866,"Xp of XpPc.3.2"
"79",79,"2","Xp of XpPc",1,3,5.327358934,"Xp of XpPc.1.2"
"80",80,"2","Xp of XpPc",2,3,5.227243782,"Xp of XpPc.2.2"
"81",81,"2","Xp of XpPc",3,3,6.739118948,"Xp of XpPc.3.2"
"82",82,"2","Xp of XpPc",1,6,6.583044803,"Xp of XpPc.1.2"
"83",83,"2","Xp of XpPc",2,6,7.004027489,"Xp of XpPc.2.2"
"84",84,"2","Xp of XpPc",3,6,7.020417905,"Xp of XpPc.3.2"
"85",85,"2","Xp of XpPc",1,9,7.020417905,"Xp of XpPc.1.2"
"86",86,"2","Xp of XpPc",2,9,6.730846422,"Xp of XpPc.2.2"
"87",87,"2","Xp of XpPc",3,9,7.004027489,"Xp of XpPc.3.2"
"88",88,"2","Xp of XpPc",1,14,5.518102481,"Xp of XpPc.1.2"
"89",89,"2","Xp of XpPc",2,14,5.603753149,"Xp of XpPc.2.2"
"90",90,"2","Xp of XpPc",3,14,5.66803629,"Xp of XpPc.3.2"
"91",91,"2","Xp of XpXa",1,0,3.45237094,"Xp of XpXa.1.2"
"92",92,"2","Xp of XpXa",2,0,3.10986436,"Xp of XpXa.2.2"
"93",93,"2","Xp of XpXa",3,0,2.10984256,"Xp of XpXa.3.2"
"94",94,"2","Xp of XpXa",1,3,4.235212711,"Xp of XpXa.1.2"
"95",95,"2","Xp of XpXa",2,3,3.193820026,"Xp of XpXa.2.2"
"96",96,"2","Xp of XpXa",3,3,3.795880017,"Xp of XpXa.3.2"
"97",97,"2","Xp of XpXa",1,6,4.640978507,"Xp of XpXa.1.2"
"98",98,"2","Xp of XpXa",2,6,5.102305045,"Xp of XpXa.2.2"
"99",99,"2","Xp of XpXa",3,6,5.133339279,"Xp of XpXa.3.2"
"100",100,"2","Xp of XpXa",1,9,5.784884633,"Xp of XpXa.1.2"
"101",101,"2","Xp of XpXa",2,9,4.62518379,"Xp of XpXa.2.2"
"102",102,"2","Xp of XpXa",3,9,6.018596488,"Xp of XpXa.3.2"
"103",103,"2","Xp of XpXa",1,14,3.971971276,"Xp of XpXa.1.2"
"104",104,"2","Xp of XpXa",2,14,5.486076097,"Xp of XpXa.2.2"
"105",105,"2","Xp of XpXa",3,14,7.213500166,"Xp of XpXa.3.2"
"106",106,"2","Xp of XpPcXa",1,0,3.1981414,"Xp of XpPcXa.1.2"
"107",107,"2","Xp of XpPcXa",2,0,2.918095896,"Xp of XpPcXa.2.2"
"108",108,"2","Xp of XpPcXa",3,0,2.89279003,"Xp of XpPcXa.3.2"
"109",109,"2","Xp of XpPcXa",1,3,6.730846422,"Xp of XpPcXa.1.2"
"110",110,"2","Xp of XpPcXa",2,3,6.889904342,"Xp of XpPcXa.2.2"
"111",111,"2","Xp of XpPcXa",3,3,5.157607853,"Xp of XpPcXa.3.2"
"112",112,"2","Xp of XpPcXa",1,6,7.311919338,"Xp of XpPcXa.1.2"
"113",113,"2","Xp of XpPcXa",2,6,7.193820026,"Xp of XpPcXa.2.2"
"114",114,"2","Xp of XpPcXa",3,6,6.763031106,"Xp of XpPcXa.3.2"
"115",115,"2","Xp of XpPcXa",1,9,6.686940937,"Xp of XpPcXa.1.2"
"116",116,"2","Xp of XpPcXa",2,9,6.911273436,"Xp of XpPcXa.2.2"
"117",117,"2","Xp of XpPcXa",3,9,6.627626935,"Xp of XpPcXa.3.2"
"118",118,"2","Xp of XpPcXa",1,14,5.18059176,"Xp of XpPcXa.1.2"
"119",119,"2","Xp of XpPcXa",2,14,5.148062535,"Xp of XpPcXa.2.2"
"120",120,"2","Xp of XpPcXa",3,14,6.969265383,"Xp of XpPcXa.3.2"
"121",121,"3","Xp alone",1,0,3.372221368,"Xp alone.1.3"
"122",122,"3","Xp alone",2,0,2.745270024,"Xp alone.2.3"
"123",123,"3","Xp alone",3,0,3.157607853,"Xp alone.3.3"
"124",124,"3","Xp alone",1,3,4.795880017,"Xp alone.1.3"
"125",125,"3","Xp alone",2,3,4.494850022,"Xp alone.2.3"
"126",126,"3","Xp alone",3,3,5.884016106,"Xp alone.3.3"
"127",127,"3","Xp alone",1,6,7.638092369,"Xp alone.1.3"
"128",128,"3","Xp alone",2,6,7.668055592,"Xp alone.2.3"
"129",129,"3","Xp alone",3,6,5.901390202,"Xp alone.3.3"
"130",130,"3","Xp alone",1,9,7.658295755,"Xp alone.1.3"
"131",131,"3","Xp alone",2,9,8.207183988,"Xp alone.2.3"
"132",132,"3","Xp alone",3,9,7.921492601,"Xp alone.3.3"
"133",133,"3","Xp alone",1,14,6.84703254,"Xp alone.1.3"
"134",134,"3","Xp alone",2,14,7.542124889,"Xp alone.2.3"
"135",135,"3","Xp alone",3,14,7.392477113,"Xp alone.3.3"
"136",136,"3","Xp of XpPc",1,0,3.44618754,"Xp of XpPc.1.3"
"137",137,"3","Xp of XpPc",2,0,2.889301703,"Xp of XpPc.2.3"
"138",138,"3","Xp of XpPc",3,0,3.349763044,"Xp of XpPc.3.3"
"139",139,"3","Xp of XpPc",1,3,3.193820026,"Xp of XpPc.1.3"
"140",140,"3","Xp of XpPc",2,3,3.670941281,"Xp of XpPc.2.3"
"141",141,"3","Xp of XpPc",3,3,3.670941281,"Xp of XpPc.3.3"
"142",142,"3","Xp of XpPc",1,6,4.038918066,"Xp of XpPc.1.3"
"143",143,"3","Xp of XpPc",2,6,4.712333966,"Xp of XpPc.2.3"
"144",144,"3","Xp of XpPc",3,6,6.558911123,"Xp of XpPc.3.3"
"145",145,"3","Xp of XpPc",1,9,5.598653743,"Xp of XpPc.1.3"
"146",146,"3","Xp of XpPc",2,9,5.349156063,"Xp of XpPc.2.3"
"147",147,"3","Xp of XpPc",3,9,7.020417905,"Xp of XpPc.3.3"
"148",148,"3","Xp of XpPc",1,14,6.852784869,"Xp of XpPc.1.3"
"149",149,"3","Xp of XpPc",2,14,6.727846132,"Xp of XpPc.2.3"
"150",150,"3","Xp of XpPc",3,14,6.441793292,"Xp of XpPc.3.3"
"151",151,"3","Xp of XpXa",1,0,3.255272505,"Xp of XpXa.1.3"
"152",152,"3","Xp of XpXa",2,0,2.730378469,"Xp of XpXa.2.3"
"153",153,"3","Xp of XpXa",3,0,3.329906123,"Xp of XpXa.3.3"
"154",154,"3","Xp of XpXa",1,3,4.235212711,"Xp of XpXa.1.3"
"155",155,"3","Xp of XpXa",2,3,3.193820026,"Xp of XpXa.2.3"
"156",156,"3","Xp of XpXa",3,3,3.795880017,"Xp of XpXa.3.3"
"157",157,"3","Xp of XpXa",1,6,4.640978057,"Xp of XpXa.1.3"
"158",158,"3","Xp of XpXa",2,6,5.102305045,"Xp of XpXa.2.3"
"159",159,"3","Xp of XpXa",3,6,5.133339279,"Xp of XpXa.3.3"
"160",160,"3","Xp of XpXa",1,9,5.784884633,"Xp of XpXa.1.3"
"161",161,"3","Xp of XpXa",2,9,4.62518379,"Xp of XpXa.2.3"
"162",162,"3","Xp of XpXa",3,9,6.018596488,"Xp of XpXa.3.3"
"163",163,"3","Xp of XpXa",1,14,4.89279003,"Xp of XpXa.1.3"
"164",164,"3","Xp of XpXa",2,14,4.670941281,"Xp of XpXa.2.3"
"165",165,"3","Xp of XpXa",3,14,5.725298943,"Xp of XpXa.3.3"
"166",166,"3","Xp of XpPcXa",1,0,3.124259621,"Xp of XpPcXa.1.3"
"167",167,"3","Xp of XpPcXa",2,0,3.358172882,"Xp of XpPcXa.2.3"
"168",168,"3","Xp of XpPcXa",3,0,2.84509804,"Xp of XpPcXa.3.3"
"169",169,"3","Xp of XpPcXa",1,3,3.670941281,"Xp of XpPcXa.1.3"
"170",170,"3","Xp of XpPcXa",2,3,5.403335041,"Xp of XpPcXa.2.3"
"171",171,"3","Xp of XpPcXa",3,3,4.148062535,"Xp of XpPcXa.3.3"
"172",172,"3","Xp of XpPcXa",1,6,4.90982337,"Xp of XpPcXa.1.3"
"173",173,"3","Xp of XpPcXa",2,6,5.235212711,"Xp of XpPcXa.2.3"
"174",174,"3","Xp of XpPcXa",3,6,6.770717934,"Xp of XpPcXa.3.3"
"175",175,"3","Xp of XpPcXa",1,9,5.369911285,"Xp of XpPcXa.1.3"
"176",176,"3","Xp of XpPcXa",2,9,6.779385839,"Xp of XpPcXa.2.3"
"177",177,"3","Xp of XpPcXa",3,9,7.180118748,"Xp of XpPcXa.3.3"
"178",178,"3","Xp of XpPcXa",1,14,5.16694788,"Xp of XpPcXa.1.3"
"179",179,"3","Xp of XpPcXa",2,14,5.102305045,"Xp of XpPcXa.2.3"
"180",180,"3","Xp of XpPcXa",3,14,5.112898118,"Xp of XpPcXa.3.3"
